English,Polish
you,ty
I,I
to,do
and,oraz
that,że
it,to
of,z
me,ja
what,Co
is,jest
in,w
this,ten
know,wiedzieć
I'm,Jestem
for,dla
no,nie
have,mieć
my,mój
don't,nie
just,tylko
not,nie
do,robić
be,być
on,na 
your,twój
was,był
we,my
it's,jego
with,z
so,więc
but,ale
all,wszystko
well,dobrze
are,są
he,on
oh,oh
about,o
right,prawo
you're,Jesteś
get,Dostawać
here,tutaj
out,na zewnątrz
going,pójście
like,tak jak
yeah,tak
if,jeśli
her,ją
she,Ona
can,Móc
up,w górę
want,chcieć
think,myśleć
that's,to jest
now,Teraz
go,iść
him,jego
at,w
how,Jak
got,dostał
there,tam
one,jeden
did,zrobił
why,czemu
see,Widzieć
come,chodź
good,Dobry
they,one
really,naprawdę
as,jak
would,zrobiłbym
look,wyglądać
when,gdy
time,czas
will,będzie
okay,w porządku
back,plecy
can't,żargon
mean,oznaczać
tell,powiedzieć
I'll,Chory
from,z
hey,Siema
were,byli
he's,On jest
could,mógłby
didn't,nie
yes,tak
his,jego
been,został
or,lub
something,coś
who,kto
because,dlatego
some,niektóre
had,miał
then,następnie
say,mówić
ok,ok
take,Brać
an,jakiś
way,droga
us,nas
little,mały
make,robić
need,potrzebować
gonna,zamierzać
never,nigdy
we're,byli
too,także
love,kocham
she's,Ona jest
I've,Ja
sure,Jasne
them,ich
more,jeszcze
over,koniec
our,nasz
sorry,przepraszam
where,gdzie
what's,Co jest
let,wynajmować
thing,rzecz
am,jestem  
maybe,być może
down,na dół
man,facet
has,ma
uh,Uh
very,bardzo
by,za pomocą
there's,jest
should,powinien
anything,byle co
said,powiedział
much,dużo
any,każdy
life,życie
even,nawet
off,wyłączony
please,Proszę
doing,czyn
thank,dziękować
give,dawać
only,tylko
thought,myśl
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
god,bóg
still,nadal
wait,czekać
into,w
find,odnaleźć
nothing,nic
again,ponownie
things,rzeczy
let's,Let
doesn't,nie
call,połączenie
told,powiedział
great,Świetnie
before,zanim
better,lepiej
ever,zawsze
night,noc
than,niż